,NaiveBayes,XGBoost,LightGBM,Perceptron,GradBoost
Technique1,0.7733333333333333,0.98,0.99,0.7166666666666667,0.9866666666666667
Technique2,0.8766666666666667,0.97,0.9833333333333333,0.5033333333333333,0.9733333333333334
Technique3,0.8384279475982532,0.980349344978166,0.9868995633187773,0.462882096069869,0.982532751091703
Technique4,0.8666666666666667,0.9866666666666667,0.9933333333333333,0.6,0.99
Technique5,0.7833333333333333,0.99,0.9866666666666667,0.62,0.98
